2017-03-12	1	4	7	2.5                                                                                                                                                                                                                                                                                                              
2017-03-12	2	10	8	2.4                                                                                                                                                                                                                                                                                                              
2017-03-12	3	6	2	70.6                                                                                                                                                                                                                                                                                                              
2017-03-12	4	8	10	33.9                                                                                                                                                                                                                                                                                                              
2017-03-12	5	10	6	6.3                                                                                                                                                                                                                                                                                                              
2017-03-12	6	11	8	33.8                                                                                                                                                                                                                                                                                                              
2017-03-12	7	1	9	5.5                                                                                                                                                                                                                                                                                                              
2017-03-12	8	9	10	4.8                                                                                                                                                                                                                                                                                                              
2017-03-12	9	9	1	11.5                                                                                                                                                                                                                                                                                                              
2017-03-12	10	5	13	57.0                                                                                                                                                                                                                                                                                                              
2017-03-12	11	8	1	8.7                                                                                                                                                                                                                                                                                                              
