2016-10-02	1	9	1	19.7                                                                                                                                                                                                                                                                                                              
2016-10-02	2	6	9	5.2                                                                                                                                                                                                                                                                                                              
2016-10-02	3	6	4	33.8                                                                                                                                                                                                                                                                                                              
2016-10-02	4	11	5	24.2                                                                                                                                                                                                                                                                                                              
2016-10-02	5	6	10	349.6                                                                                                                                                                                                                                                                                                              
2016-10-02	6	1	7	8.8                                                                                                                                                                                                                                                                                                              
2016-10-02	7	8	4	88.1                                                                                                                                                                                                                                                                                                              
2016-10-02	8	5	11	65.7                                                                                                                                                                                                                                                                                                              
2016-10-02	9	11	9	79.5                                                                                                                                                                                                                                                                                                              
2016-10-02	10	9	4	2.9                                                                                                                                                                                                                                                                                                              
2016-10-02	11	5	6	49.6                                                                                                                                                                                                                                                                                                              
