2016-09-25	1	4	8	17.8                                                                                                                                                                                                                                                                                                              
2016-09-25	2	5	6	7.7                                                                                                                                                                                                                                                                                                              
2016-09-25	3	8	7	13.3                                                                                                                                                                                                                                                                                                              
2016-09-25	4	14	3	103.4                                                                                                                                                                                                                                                                                                              
2016-09-25	5	6	10	71.4                                                                                                                                                                                                                                                                                                              
2016-09-25	6	6	14	738.2                                                                                                                                                                                                                                                                                                              
2016-09-25	7	5	10	17.6                                                                                                                                                                                                                                                                                                              
2016-09-25	8	8	12	17.7                                                                                                                                                                                                                                                                                                              
2016-09-25	9	6	5	362.2                                                                                                                                                                                                                                                                                                              
2016-09-25	10	5	6	43.5                                                                                                                                                                                                                                                                                                              
2016-09-25	11	6	8	7.3                                                                                                                                                                                                                                                                                                              
