2016-11-27	1	4	7	5.9                                                                                                                                                                                                                                                                                                              
2016-11-27	2	3	1	27.3                                                                                                                                                                                                                                                                                                              
2016-11-27	3	6	9	69.5                                                                                                                                                                                                                                                                                                              
2016-11-27	4	2	12	7.8                                                                                                                                                                                                                                                                                                              
2016-11-27	5	2	8	10.3                                                                                                                                                                                                                                                                                                              
2016-11-27	6	11	8	3.4                                                                                                                                                                                                                                                                                                              
2016-11-27	7	11	4	36.9                                                                                                                                                                                                                                                                                                              
2016-11-27	8	10	6	16.6                                                                                                                                                                                                                                                                                                              
2016-11-27	9	11	9	1048.6                                                                                                                                                                                                                                                                                                              
2016-11-27	10	9	7	173.8                                                                                                                                                                                                                                                                                                              
2016-11-27	11	9	10	113.0                                                                                                                                                                                                                                                                                                              
