2016-07-02	1	4	6	58.7                                                                                                                                                                                                                                                                                                              
2016-07-02	2	2	1	9.5                                                                                                                                                                                                                                                                                                              
2016-07-02	3	5	4	18.0                                                                                                                                                                                                                                                                                                              
2016-07-02	4	4	2	12.6                                                                                                                                                                                                                                                                                                              
2016-07-02	5	8	7	5.4                                                                                                                                                                                                                                                                                                              
2016-07-02	6	4	7	4.8                                                                                                                                                                                                                                                                                                              
2016-07-02	7	8	4	7.1                                                                                                                                                                                                                                                                                                              
2016-07-02	8	3	5	75.7                                                                                                                                                                                                                                                                                                              
2016-07-02	9	8	9	9.5                                                                                                                                                                                                                                                                                                              
2016-07-02	10	1	8	23.5                                                                                                                                                                                                                                                                                                              
2016-07-02	11	4	3	8.0                                                                                                                                                                                                                                                                                                              
