2016-07-30	1	11	8	1.5                                                                                                                                                                                                                                                                                                              
2016-07-30	2	6	5	17.4                                                                                                                                                                                                                                                                                                              
2016-07-30	3	2	6	3.6                                                                                                                                                                                                                                                                                                              
2016-07-30	4	12	6	84.1                                                                                                                                                                                                                                                                                                              
2016-07-30	5	12	10	6.8                                                                                                                                                                                                                                                                                                              
2016-07-30	6	9	12	39.1                                                                                                                                                                                                                                                                                                              
2016-07-30	7	1	5	27.2                                                                                                                                                                                                                                                                                                              
2016-07-30	8	10	6	5.7                                                                                                                                                                                                                                                                                                              
2016-07-30	9	1	9	26.1                                                                                                                                                                                                                                                                                                              
2016-07-30	10	11	6	63.4                                                                                                                                                                                                                                                                                                              
