2016-08-28	1	5	9	10.9                                                                                                                                                                                                                                                                                                              
2016-08-28	2	5	7	16.7                                                                                                                                                                                                                                                                                                              
2016-08-28	3	4	6	8.9                                                                                                                                                                                                                                                                                                              
2016-08-28	4	3	11	13.8                                                                                                                                                                                                                                                                                                              
2016-08-28	5	2	8	149.7                                                                                                                                                                                                                                                                                                              
2016-08-28	6	5	3	7.8                                                                                                                                                                                                                                                                                                              
2016-08-28	7	2	5	90.1                                                                                                                                                                                                                                                                                                              
2016-08-28	8	1	9	25.3                                                                                                                                                                                                                                                                                                              
2016-08-28	9	2	5	7.5                                                                                                                                                                                                                                                                                                              
2016-08-28	10	5	7	5.5                                                                                                                                                                                                                                                                                                              
2016-08-28	11	2	8	35.6                                                                                                                                                                                                                                                                                                              
